[BEGIN LOGGING AT 2019-01-28 16:05:33,700]
2019-01-28 16:05:33,911 [4] DEBUG - [EFT Outward Ack]Dowloader started.
2019-01-28 16:05:34,078 [5] DEBUG - [EFT Outward Ack]Error Occured while downloading file from Pbm. Stack Trace =>
2019-01-28 16:05:36,081 [5] DEBUG - [EFT Outward Ack]Error Occured while downloading file from Pbm. Stack Trace =>
2019-01-28 16:05:38,083 [5] DEBUG - [EFT Outward Ack]Error Occured while downloading file from Pbm. Stack Trace =>
2019-01-28 16:05:40,087 [5] DEBUG - [EFT Outward Ack]Error Occured while downloading file from Pbm. Stack Trace =>
2019-01-28 16:05:42,087 [6] DEBUG - [EFT Outward Ack]Downloader stopped.
[END LOGGING AT 2019-01-28 16:05:33,702]
[BEGIN LOGGING AT 2019-01-28 17:12:09,103]
2019-01-28 17:12:09,217 [4] DEBUG - [EFT Outward Ack]Dowloader started.
2019-01-28 17:12:09,309 [5] DEBUG - [EFT Outward Ack]Error Occured while downloading file from Pbm. Stack Trace =>
2019-01-28 17:12:11,309 [5] DEBUG - [EFT Outward Ack]Error Occured while downloading file from Pbm. Stack Trace =>
2019-01-28 17:12:13,309 [5] DEBUG - [EFT Outward Ack]Error Occured while downloading file from Pbm. Stack Trace =>
2019-01-28 17:12:15,309 [5] DEBUG - [EFT Outward Ack]Error Occured while downloading file from Pbm. Stack Trace =>
2019-01-28 17:12:17,309 [5] DEBUG - [EFT Outward Ack]Error Occured while downloading file from Pbm. Stack Trace =>
2019-01-28 17:12:19,309 [5] DEBUG - [EFT Outward Ack]Error Occured while downloading file from Pbm. Stack Trace =>
2019-01-28 17:12:21,309 [5] DEBUG - [EFT Outward Ack]Error Occured while downloading file from Pbm. Stack Trace =>
2019-01-28 17:12:23,309 [5] DEBUG - [EFT Outward Ack]Error Occured while downloading file from Pbm. Stack Trace =>
2019-01-28 17:12:25,309 [5] DEBUG - [EFT Outward Ack]Error Occured while downloading file from Pbm. Stack Trace =>
